Result code,Year,PDF link,Submitter,Level,Type,Title,Description,Lead contact person,Gender level,Climate change level,Nutrition tag level,Environmental biodiversity tag level,Poverty reduction tag level,Actors,Is KRS,KRS link,Legacy ID,Contributing initiatives,Non pooled projects,Primary center,Contributing centers,TOC results,Action Area Outcomes,Impact Area Target,SDG targets,Partners,Countries,Regions,Linked results,Evidence 1,Evidence 2,Evidence 3,Evidence 4,Evidence 5,Evidence 6,Action Area,similarity_score,input_text,model_name,Soil Health,Topic
16871,2024,https://reporting.cgiar.org/reports/result-details/16871?phase=4,INIT-11,Initiative output,Capacity sharing for development,"Postdoctoral training / research: Assessing the impact of agroecological farming practices on climate change, soil health and crop productivity",Research on the relationship between soil health and plant health,Mirjam Pulleman,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,"CIAT (Alliance), CIMMYT",,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.2,1.4,1.5)
Goal 13: Climate Action (13.2)
Goal 6: Clean Water and Sanitation (6.4)
Goal 15: Life on Land (15.3)
Goal 17: Partnerships for the Goals (17.7)",• ETHZ - ETH Zurich [Other] - Switzerland,Kenya,,,,,,,,,RAFS,0.6268079280853271,"Postdoctoral training / research: Assessing the impact of agroecological farming practices on climate change, soil health and crop productivity Research on the relationship between soil health and plant health",gpt-4.1,"Yes, the text directly discusses aspects related to soil health.",-1
16592,2024,https://reporting.cgiar.org/reports/result-details/16592?phase=4,INIT-11,Initiative output,Capacity sharing for development,"Comprehensive Soil Health Indicator Workshop: Advancing Methodologies and Protocols for Multistakeholder Assessment in Colombia for farmers, technicians, students, researchers","Soil health indicator workshop (23 February – 13 March 2024) about indicator selection and methods for soil health assessment at CIAT, Cali, Colombia. A variety of methods were tested and discussed, contributing to the refinement of our approach to soil health analysis. This included developing and finetuning methodological protocols for assessment methods. As a follow-up the postdoc coordinated the development of a manual for soil health assessment, for application of different types of stakeholders (farmers, technicians, students, researchers; in progress).",Anna M. Visscher/ Mirjam Pulleman,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,Bioversity (Alliance),,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.2,1.4,1.5)
Goal 13: Climate Action (13.2)
Goal 6: Clean Water and Sanitation (6.4)
Goal 15: Life on Land (15.3)
Goal 17: Partnerships for the Goals (17.7)"," • WUR - Wageningen University and Research Centre [Other] - Netherlands (Kingdom of the)
 • CSU - Colorado State University [Other] - United States of America",Colombia,,,,,,,,,RAFS,0.6221234798431396,"Comprehensive Soil Health Indicator Workshop: Advancing Methodologies and Protocols for Multistakeholder Assessment in Colombia for farmers, technicians, students, researchers Soil health indicator workshop (23 February – 13 March 2024) about indicator selection and methods for soil health assessment at CIAT, Cali, Colombia. A variety of methods were tested and discussed, contributing to the refinement of our approach to soil health analysis. This included developing and finetuning methodological protocols for assessment methods. As a follow-up the postdoc coordinated the development of a manual for soil health assessment, for application of different types of stakeholders (farmers, technicians, students, researchers; in progress).",gpt-4.1,"Yes, the text speaks directly about soil health and discusses aspects related to the health of soils, such as soil health indicators, assessment methods, and protocols.",-1
5744,2023,https://reporting.cgiar.org/reports/result-details/5744?phase=3,INIT-11,Initiative output,Knowledge product,"Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties","To describe soil quality, soil health or soil fertility, soil properties such as carbon content, pH, texture (sand, silt and clay content) and others, including biological variables, are required. Changes in soil properties need to be monitored as they may indicate changes in the soil’s ability to support crop growth and the provision of environmental services. Soil is a heterogeneous medium, which is exposed to natural processes (rainfall, wind, flooding, drying) and human interference through agronomic management. Some soil properties may change rapidly in response to tillage, fertilizer application, irrigation and other practices, while others are relatively resilient and change slowly, depending on the type of intervention. In turn, these properties affect crops’ responses to any agronomic management (e.g. fertilizer application, tillage, irrigation, planting density and weed control) and crops’ responses to natural phenomena such as rainfall, storm, drought and extreme temperatures. Thus, correct sampling of soil is a key requirement for monitoring changes in soil properties, enabling assessment of the impact of agronomic practices on the environment, on crop responses and on the soil quality and health.",Stefan Hauser,(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,"AfricaRice, CIAT (Alliance), IITA, IRRI",,"Systems Transformation (5)
Genetic Innovation (7,8)","Climate Adaptation and Mitigation (4.2)
Gender Equality, Youth and Social Inclusion (3.1,3.2)
Environmental Health and Biodiversity (5.1)
Nutrition, Health and Food Security (1.1)","Goal 2: Zero Hunger (2.3,2.4)
Goal 13: Climate Action (13.2)
Goal 6: Clean Water and Sanitation (6.4)
Goal 15: Life on Land (15.3)
Goal 10: Reducing Inequalities (10.1)",Marked as not applicable,,", Central and West Asia and North Africa, South Asia, Southeast Asia and the Pacific",,https://hdl.handle.net/10568/134603,,,,,,RAFS,0.6209995150566101,"Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties To describe soil quality, soil health or soil fertility, soil properties such as carbon content, pH, texture (sand, silt and clay content) and others, including biological variables, are required. Changes in soil properties need to be monitored as they may indicate changes in the soil’s ability to support crop growth and the provision of environmental services. Soil is a heterogeneous medium, which is exposed to natural processes (rainfall, wind, flooding, drying) and human interference through agronomic management. Some soil properties may change rapidly in response to tillage, fertilizer application, irrigation and other practices, while others are relatively resilient and change slowly, depending on the type of intervention. In turn, these properties affect crops’ responses to any agronomic management (e.g. fertilizer application, tillage, irrigation, planting density and weed control) and crops’ responses to natural phenomena such as rainfall, storm, drought and extreme temperatures. Thus, correct sampling of soil is a key requirement for monitoring changes in soil properties, enabling assessment of the impact of agronomic practices on the environment, on crop responses and on the soil quality and health.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health.",-1
10127,2023,https://reporting.cgiar.org/reports/result-details/10127?phase=3,INIT-17,Initiative output,Knowledge product,"Impact of improved forages on soil health in Mai Son district, Son La province, Vietnam",,Mary Atieno,(0) Not Targeted,(1) Significant,(1) Significant,(1) Significant,(1) Significant,,0,,,,,,CIAT (Alliance),,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.1,1.2)
Goal 13: Climate Action (13.1)
Goal 5: Gender Equality (5.a)",• NOMAFSI - Northern Mountainous Agriculture and Forestry Science Institute [Innovation] - The Socialist Republic of Viet Nam,The Socialist Republic of Viet Nam,Southeast Asia and the Pacific,,https://hdl.handle.net/10568/137702,,,,,,RAFS,0.6114569902420044,"Impact of improved forages on soil health in Mai Son district, Son La province, Vietnam nan",gpt-4.1,"Yes, the text speaks about soil health and discusses aspects that relate directly to the health of soils.",-1
16879,2024,https://reporting.cgiar.org/reports/result-details/16879?phase=4,INIT-17,Initiative output,Knowledge product,"All-year round assessment of improved forages and impact on soil health in Mai Son district, Son La Province, Vietnam",,Mary Atieno,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,INIT-12,,,"Bioversity (Alliance), CIAT (Alliance)",,,,"Goal 2: Zero Hunger (2.1,2.2,2.3,2.4,2.5)
Goal 1: No Poverty (1.1,1.2,1.4,1.5,1.b)
Goal 13: Climate Action (13.1,13.3)
Goal 5: Gender Equality (5.5,5.a,5.c)
Goal 8: Decent Work and Economic Growth (8.2)",Marked as not applicable,The Socialist Republic of Viet Nam,Southeast Asia and the Pacific,"7906, 7929, 10127",https://hdl.handle.net/10568/169564,,,,,,RAFS,0.6082967519760132,"All-year round assessment of improved forages and impact on soil health in Mai Son district, Son La Province, Vietnam nan",gpt-4.1,"Yes, the text directly discusses aspects related to soil health.",-1
16868,2024,https://reporting.cgiar.org/reports/result-details/16868?phase=4,INIT-11,Initiative output,Capacity sharing for development,Postdoctoral training / research: Microbial Indicators for Soil Health Assessment (MISHA),Postdoc research as part of soil health R&D. Manuscript writing is underway as of Q4 2024.,Mirjam Pulleman,(0) Not Targeted,(1) Significant,(0) Not Targeted,(2) Principal,(0) Not Targeted,,0,,,,,,"CIAT (Alliance), IITA",,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.2,1.4,1.5)
Goal 13: Climate Action (13.2)
Goal 6: Clean Water and Sanitation (6.4)
Goal 15: Life on Land (15.3)
Goal 17: Partnerships for the Goals (17.7)",• ETH-Zurich - Swiss Federal Institute of Technology [Innovation] - Switzerland,Kenya,,,,,,,,,RAFS,0.604934811592102,Postdoctoral training / research: Microbial Indicators for Soil Health Assessment (MISHA) Postdoc research as part of soil health R&D. Manuscript writing is underway as of Q4 2024.,gpt-4.1,"Yes, the text speaks about soil health and aspects directly related to the health of soils.",-1
17775,2024,https://reporting.cgiar.org/reports/result-details/17775?phase=4,INIT-19,Initiative output,Knowledge product,Sustainable soil nutrition for forages in Laos and Cambodia,,Joshua Philp,(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,CIAT (Alliance),,,,Goal 8: Decent Work and Economic Growth (8.5),Marked as not applicable,"Cambodia, Lao People's Democratic Republic",Southeast Asia and the Pacific,,https://hdl.handle.net/10568/169442,,,,,,RAFS,0.5537556409835815,Sustainable soil nutrition for forages in Laos and Cambodia nan,gpt-4.1,"Yes, the text speaks about soil health or aspects directly related to the health of soils.",-1
4234,2022,https://reporting.cgiar.org/reports/result-details/4234?phase=1,INIT-32,Initiative output,Knowledge product,The effects of adequate and excessive application of mineral fertilizers on the soil,"Fertilizers increase availability of essential plant nutrients in the soil and alter many chemical, biological and physical soil properties. Fertilizers lead to the accumulation of soil organic matter (SOM), but the excessive application of nitrogen fertilizers is deleterious to SOM, may contribute to nitrate pollution of freshwaters and emission of nitrous oxide – a greenhouse gas. Nitrogen fertilizers can also cause soil acidification. Phosphatic fertilizers may contribute to eutrophication of surface waters, and heavy metal impurities in these may contaminate soils. Balanced fertilization positively affects soil organic matter and soil biota; and in general soil microbial life is positively influenced.",Tek Sapkota,(0) Not Targeted,(1) Significant,Not applicable,Not applicable,Not applicable,,0,,,INIT-20,,CIMMYT,,,"Systems Transformation (3,4,5,6)
Genetic Innovation (11,3,7,8,9)
Resilient Agrifood Systems (2,3,5,6)
 ()",,"Goal 2: Zero Hunger (2.1,2.3,2.4)
Goal 1: No Poverty (1.1)
Goal 13: Climate Action (13.1,13.2,13.b)
Goal 5: Gender Equality (5.4,5.5,5.a)
Goal 6: Clean Water and Sanitation (6.4)
Goal 10: Reducing Inequalities (10.2)
Goal 3: Good Health and Well-Being for People (3.4)
Goal 4: Quality Education (4.4)",• PAU - Punjab Agricultural University [Innovation] - India,,,,https://hdl.handle.net/10568/128379,,,,,,ST,0.5401253700256348,"The effects of adequate and excessive application of mineral fertilizers on the soil Fertilizers increase availability of essential plant nutrients in the soil and alter many chemical, biological and physical soil properties. Fertilizers lead to the accumulation of soil organic matter (SOM), but the excessive application of nitrogen fertilizers is deleterious to SOM, may contribute to nitrate pollution of freshwaters and emission of nitrous oxide – a greenhouse gas. Nitrogen fertilizers can also cause soil acidification. Phosphatic fertilizers may contribute to eutrophication of surface waters, and heavy metal impurities in these may contaminate soils. Balanced fertilization positively affects soil organic matter and soil biota; and in general soil microbial life is positively influenced.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health.",-1
6569,2024,https://reporting.cgiar.org/reports/result-details/6569?phase=4,INIT-11,Initiative output,Innovation development,"Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties","The Standard Operating procedures provides the step-by-step guide for soil sampling, handling and storage for soil, biological and physical properties and calculation procedures for these parameters.",Stefan Hauser,(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,,0,,,,,IITA,"AfricaRice, Bioversity (Alliance), IRRI",,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.2,1.4,1.5)
Goal 13: Climate Action (13.2)
Goal 6: Clean Water and Sanitation (6.4)
Goal 15: Life on Land (15.3)
Goal 17: Partnerships for the Goals (17.7)
Goal 10: Reducing Inequalities (10.1)",Marked as not applicable,,,,https://hdl.handle.net/10568/134603,https://hdl.handle.net/10568/155445,,,,,RAFS,0.523034393787384,"Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties The Standard Operating procedures provides the step-by-step guide for soil sampling, handling and storage for soil, biological and physical properties and calculation procedures for these parameters.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health by mentioning soil chemical, biological, and physical properties.",-1
13462,2024,https://reporting.cgiar.org/reports/result-details/13462?phase=4,INIT-34,Initiative output,Knowledge product,Soil health improvement by using Urochloa tropical grasses as a cover crop in a grass-maize rotational system,,Jacobo Arango,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(1) Significant,,0,,,,,,CIAT (Alliance),,,,"Goal 2: Zero Hunger (2.4)
Goal 1: No Poverty (1.2,1.4,1.5,1.b)
Goal 13: Climate Action (13.1,13.2,13.b)
Goal 5: Gender Equality (5.b)
Goal 12: Responsible Consumption and Production (12.a)
Goal 8: Decent Work and Economic Growth (8.4)"," • JIRCAS - Japan International Research Center for Agricultural Sciences [Innovation] - Japan
 • CIAT-BIOVERSITY - Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT) [Innovation] - Italy
 • UMP - Universidad Politecnica de Madrid [Innovation] - Spain",,,,https://hdl.handle.net/10568/145320,,,,,,RAFS,0.4918376207351685,Soil health improvement by using Urochloa tropical grasses as a cover crop in a grass-maize rotational system nan,gpt-4.1,"Yes, the text speaks about soil health and discusses aspects that relate directly to the health of soils.",-1
